School,Campus,Curriculum,Latitude,Longitude,Website,Last verified
Delhi School of Excellence,Banjara Hills,CBSE,17.415,78.448,https://www.dsehyderabad.com,
Delhi School of Excellence,Attapur,CBSE,17.37,78.426,https://www.dsehyderabad.com,
DRS International School,Gundlapochampally,CBSE;IB,17.558665, 78.463584,https://www.drsinternational.com,
Edify World School,Balapur,CBSE,17.48,78.38,https://edifyworldschoolbalapur.com,
Elate International School,Manikonda,CBSE;Cambridge,17.398,78.389,https://www.elateschool.com,
EuroSchool Hyderabad,Gachibowli,CBSE,17.4401,78.3489,https://www.euroschoolindia.com,
Excellencia Infinitum School,Shamirpet,CBSE,17.593,78.561,https://www.excellencia.nu,
Foster Billabong High International School,Sainikpuri,CBSE;IB,17.491,78.558,https://www.fosterbillabong.net/,
Fountainhead Global School,Miyapur,CBSE,17.496,78.357,https://www.fountainheadglobalschool.com,
Ganges Valley School,Nizampet,CBSE,17.5182,78.3685,https://www.gangesvalleyschool.com,16-08-2026
Gitanjali Devakul,Kukatpally,CBSE,17.494,78.399,https://www.gitanjali.edu.in,
Glendale International School,Sun City,CBSE;Cambridge;IB,17.3693,78.3912,https://glendaleschool.org,16-08-2026
Glendale International School,Tellapur,IB,17.472011,78.300419,https://glendaleschool.org,16-08-2026
Glendale International School,Financial District,Cambridge,17.432381,78.317585,https://glendaleschool.org,16-08-2026
GVK International School,Kompally,CBSE,17.572876, 78.498577,https://gvkinternationalschool.in/,
ARCA Global International School,Uppal,CBSE;IB;Cambridge;IGCSE,17.406,78.559,https://arca.co.in,
Hindu Public School,Sanath Nagar,CBSE,17.455,78.443,https://www.hindupublicschool.com,
Hyderabad Public School,Ramanthapur,CBSE,17.397,78.54,https://www.hpsbegumpet.org.in,
INDIC International School,Kompally,CBSE,17.532614, 78.479292,https://www.indicschools.in/,
Indus International School,Mokila,IB,17.438,78.282,https://hyderabad.indusschool.com/,
Insight International School,Shaikpet,Not verified,17.4095,78.3995,https://insight.edu.in/,16-08-2026
International School of Hyderabad,Patancheru / ICRISAT,IB;Cambridge;American,17.529,78.264,https://www.ishyd.org,
Johnson Grammar School,Nacharam,CBSE;IB,17.431,78.556,https://jgslbngr.in/,16-08-2026
Johnson Grammar School,Mallapur,CBSE,17.434,78.558,https://jgslbngr.in/,16-08-2026
Johnson Grammar School,Kuntloor,CBSE,17.418,78.617,https://jgslbngr.in/,16-08-2026
Johnson Grammar School,Kokapet,CBSE,17.395,78.342,https://jgslbngr.in/,16-08-2026
Kairos International School,Financial District,CBSE;International (unspecified),17.421,78.327,https://www.kairosinternationalschool.com,
Kairos International School,ECIL,CBSE;International (unspecified),17.474,78.57,https://www.kairosinternationalschool.com,
Maharishi Vidya Mandir,Kondapur,CBSE,17.461,78.357,https://www.mvmhyderabad.com,
Manthan International School,Tellapur,CBSE;Cambridge,17.465,78.3,https://www.manthanschool.org,
Manthan International School,Gachibowli,CBSE;Cambridge,17.44,78.349,https://www.manthanschool.org,
Marica High School,Tolichowki,CBSE,17.397,78.421,https://www.maricahighschool.com,
Meluha International School,Gandipet / Vantinagaram,CBSE;IB,17.385,78.332,https://www.meluhais.com,
Meridian School,Madhapur,CBSE,17.447,78.376,https://www.meridianschool.in,
Meridian School,Kukatpally,CBSE,17.495,78.398,https://www.meridianschool.in,
Meridian School,Uppal,CBSE,17.406,78.559,https://www.meridianschool.in,
Meridian School,Vinayak Nagar,CBSE;IB,17.447,78.376,https://www.meridianschool.in,
Meru School,Madinaguda,CBSE;Cambridge,17.49413,78.335881,https://www.meruinternationalschool.com/miyapur/,19-08-2026
Meru School,Tellapur,CBSE;Cambridge,17.471108,78.261837,https://www.meruinternationalschool.com/tellapur/,19-08-2026
Mount Carmel Global School,Kanchanbagh,CBSE,17.337,78.535,https://www.mountcarmelglobalschool.com,
Nalla Malla Reddy Foundation School,Ghatkesar,CBSE,17.449,78.685,https://www.nmrfs.ac.in,
Nasr School,Khairatabad,CBSE,17.41,78.459,https://www.nasrschool.in,
Nasr School,Mehdipatnam,CBSE,17.393,78.432,https://www.nasrschool.in,
Oakridge International School,Bachupally,CBSE;IB;Cambridge,17.548,78.385,https://www.oakridge.in,
Oakridge International School,Gachibowli,CBSE;IB;Cambridge,17.4243,78.3611,https://www.oakridge.in,
Oakwood International School,Kothapet,CBSE,17.3686,78.5521,https://www.oakwoodis.in,
Ocimum International School,Bowenpally,CBSE,17.475,78.466,https://www.ocimum.edu.in,
Orchids The International School,Bachupally,CBSE,17.548,78.385,https://www.orchidsinternationalschool.com,
Orchids The International School,Jubilee Hills,CBSE,17.432,78.407,https://www.orchidsinternationalschool.com,
Orchids The International School,Uppal,CBSE,17.406,78.559,https://www.orchidsinternationalschool.com,
Orchids The International School,Kondapur,CBSE,17.461,78.357,https://www.orchidsinternationalschool.com,
Orchids The International School,Kompally,CBSE,17.54,78.493,https://www.orchidsinternationalschool.com,
Orchids The International School,Nallagandla,CBSE,17.474,78.309,https://www.orchidsinternationalschool.com,
Orchids The International School,Langar Houz,CBSE,17.3812,78.4285,https://www.orchidsinternationalschool.com,
Orchids The International School,Kapra,CBSE,17.482,78.568,https://www.orchidsinternationalschool.com,
Orchids The International School,Bolarum,CBSE,17.511,78.51,https://www.orchidsinternationalschool.com,
Ortus International School,Bachupally,CBSE,17.548,78.385,https://www.ortusis.com,
Pallavi International School,Gandipet,CBSE;Cambridge,17.405,78.336,https://www.pallavimodelschools.edu.in,
Pallavi International School,Bowrampet,CBSE;Cambridge,17.562,78.348,https://www.pallavimodelschools.edu.in,
Pallavi Model School,Alwal,CBSE,17.501,78.509,https://www.pallavimodelschools.edu.in,
Pallavi Model School,Boduppal,CBSE,17.405,78.58,https://www.pallavimodelschools.edu.in,
Pallavi Model School,Bowenpally,CBSE,17.475,78.466,https://www.pallavimodelschools.edu.in,
Pallavi Model School,Kukatpally,CBSE,17.494,78.399,https://www.pallavimodelschools.edu.in,
Pallavi Model School,Kompally,CBSE,17.54,78.493,https://www.pallavimodelschools.edu.in,
Phoenix Greens International School,Kokapet,CBSE;Cambridge,17.398,78.341,https://www.phoenixgreens.com,
Prachin Global School,Patancheru,CBSE,17.509,78.275,https://www.prachinglobalschool.com,
Radcliffe School,Balanagar,CBSE,17.472,78.452,https://www.radcliffeschool.in,
Rockwell International School,Kokapet,CBSE;Cambridge,17.395,78.342,https://www.rockwellinternationalschool.com,
Rockwell International School,Kompally,CBSE;Cambridge,17.54,78.493,https://www.rockwellinternationalschool.com,
Sadhana Infinity International School,Nallagandla,CBSE;Cambridge,17.474,78.309,https://www.sadhanainfinity.org,
Sancta Maria International School,Serilingampally,Cambridge,17.4846,78.3268,https://www.sanctamaria.in,
Santhinikethan Concept School,Kachiguda,CBSE,17.387,78.491,https://www.santhinikethan.in,
Secunderabad Public School,West Marredpally,CBSE,17.5,78.505,https://www.secunderabadpublicschool.in,
Sentia The Global School,Miyapur,CBSE,17.498,78.356,https://www.sentiaglobalschool.com,
Shantiniketan International School,Bachupally,CBSE;IB;Cambridge,17.548,78.385,https://www.sis.edu.in,
Shree Hanuman Vyayama Shala Public School,Sultan Bazar,CBSE,17.384,78.481,https://www.shvpschool.com,
Shree Swaminarayan Gurukul International School,Moinabad,CBSE,17.369,78.246,https://www.gurukul.org,
Silver Oaks International School,Bachupally / Miyapur,CBSE;IB (PYP),17.548,78.385,https://www.silveroaks.co.in/campus/bachupally-hyderabad,19-08-2026
Silver Oaks International School,Wadakpally,CBSE;IB (PYP),17.603,78.374,https://www.silveroaks.co.in/campus/wadakpally-hyderabad,19-08-2026
Silver Oaks International School,Bowrampet,CBSE;IB,17.562,78.348,https://www.silveroaks.co.in/campus/bowrampet-hyderabad,19-08-2026
Silver Oaks International School,Mokila,IB (candidate);International (unspecified),17.438,78.282,https://www.silveroaks.co.in/campus/mokila-hyderabad,19-08-2026
Sreenidhi International School,Aziznagar,CBSE;IB;Cambridge,17.401,78.285,https://www.sis.edu.in,
Sri Chaitanya School,Multiple Campuses,CBSE,17.4,78.48,https://www.srichaitanya.net,
Sri Ram School,Nizampet,CBSE,17.516,78.367,https://www.sriramschools.com,
St. Peter's High School,Hyderabad,CBSE,17.44,78.48,https://www.stpetershyd.com,
Suchitra Academy,Quthbullapur / Suchitra,CBSE,17.52,78.458,https://www.suchitra.in,19-08-2026
The Aga Khan Academy Hyderabad,Rajendranagar,IB,17.319,78.403,https://www.agakhanacademies.org/hyderabad,
The Creek Planet School (Venus Campus),Bachupally,CBSE,17.548,78.385,https://www.thecreekschool.com,
The Gaudium School,Hyderabad,CBSE;IB,17.465,78.281,https://www.thegaudium.com,
The Hyderabad Public School,Begumpet,ICSE;ISC;Cambridge,17.447,78.464,https://www.hpsbegumpet.org.in/,19-08-2026
The Hyderabad Public School,Ramanthapur,CBSE,17.397,78.54,https://hpsramanthapur.org/,19-08-2026
The Lyceum,Saroornagar,CBSE,17.372,78.539,https://www.thelyceum.in,
The Premia Academy,Attapur,CBSE;Cambridge,17.37,78.426,https://www.thepremiaacademy.com,
The Premia Academy,Gachibowli,CBSE;Cambridge,17.44,78.349,https://www.thepremiaacademy.com,
The Quantium School,Mokila,CBSE;IB,17.463,78.204,https://www.quantiumschool.com,
Vignan Global Gen School,Madinaguda,CBSE,17.491,78.324,https://www.vignangenschool.com,
Vignan Schools,Nizampet,CBSE,17.516,78.367,https://www.vignanschools.org,
Vikas The Concept School,Bachupally,CBSE,17.548,78.385,https://www.vikasschools.com,
Vikas The Concept School,Madhapur,CBSE,17.447,78.376,https://www.vikasschools.com,
Academic Heights Public School,Aliabad / Shamshergunj,CBSE,17.348,78.468,https://www.academicheights.in,
Air Force School,Begumpet Air Force Station,CBSE,17.449,78.465,https://www.afbegumpet.edu.in,
Atomic Energy Central School,ECIL Campus,CBSE,17.477,78.565,https://www.aecshyderabad.com,
Atomic Energy Central School,DAE Colony ECIL,CBSE,17.472,78.567,https://www.aecshyderabad.com,
Azra Public School,Mehdipatnam,CBSE,17.393,78.431,https://www.azraschool.com,
Bhashyam Blooms School,Fathullaguda / Uppal,CBSE,17.383,78.576,https://www.bhashyamblooms.in,
Bhashyam Blooms The Global School,Ibrahim Bagh,CBSE,17.404,78.379,https://www.bhashyamblooms.in,
Brahm Prakash DAV School,Kanchanbagh,CBSE,17.333,78.535,https://www.bpdav.edu.in,
C A L Public School,Kapra,CBSE,17.478,78.562,https://www.calpublicschool.edu.in,
Chaitanya Bharathi Public School,Gandipet,CBSE,17.401,78.345,https://www.cbps.ac.in,
Defence Laboratories School,Kanchanbagh,CBSE,17.333,78.535,https://www.dls.edu.in,
Defence Laboratories School,RCI / Vignyan Kancha,CBSE,17.318,78.443,https://www.dls.edu.in,
Delhi World School,Chintal,CBSE,17.519,78.442,https://www.delhiworldschool.com,
Dhatrak Model School,Jeedimetla,CBSE,17.52,78.466,https://www.dhatrakmodelschool.com,
Dr K.K.R's Gowtham Concept School,Moulali / ECIL X Roads,CBSE,17.441,78.559,https://www.gowthamconceptschool.com,
Fusion International School,Ameenpur,CBSE,17.523,78.33,https://www.fusion.edu.in,
G Pulla Reddy High School,Mehdipatnam,CBSE,17.393,78.431,https://www.gpullareddyhighschool.com,
Genesis International School,Madinaguda,CBSE,17.49,78.323,https://www.genesis.edu.in,
Howard Public School,Himayatnagar,CBSE,17.4,78.485,https://www.howardpublicschool.in,
Iqbalia School,Jubilee Hills,CBSE,17.431,78.416,https://www.iqbaliaschool.org,
Jubilee Hills Public School,Jubilee Hills,CBSE,17.432,78.408,https://www.jhpublicschool.com,
Jubilee Hills Public School,Rampally,CBSE,17.444,78.683,https://www.jhpublicschool.com,
Kendriya Vidyalaya No.1,Langer House,CBSE,17.386,78.419,https://www.kv1.ac.in,
Kendriya Vidyalaya No.2,Nanal Nagar,CBSE,17.39,78.423,https://www.kv2.ac.in,
Kendriya Vidyalaya,University of Hyderabad,CBSE,17.457,78.334,https://www.kvsangathan.nic.in,
Kendriya Vidyalaya,Kanchan Bagh,CBSE,17.333,78.535,https://www.kvsangathan.nic.in,
Kendriya Vidyalaya,Gachibowli,CBSE,17.444,78.349,https://www.kvsangathan.nic.in,
Kendriya Vidyalaya,SVP National Police Academy,CBSE,17.348,78.441,https://www.kvsangathan.nic.in,
Kendriya Vidyalaya,CRPF Barkas / Chandrayangutta,CBSE,17.312,78.502,https://www.kvsangathan.nic.in,
Kendriya Vidyalaya,Air Force Station Begumpet,CBSE,17.449,78.465,https://www.kvsangathan.nic.in,
Kendriya Vidyalaya No.1,Uppal,CBSE,17.405,78.559,https://www.kv1.ac.in,
Kendriya Vidyalaya No.1,Air Force Academy Dundigal,CBSE,17.6,78.447,https://www.kv1.ac.in,
Kendriya Vidyalaya No.2,Air Force Academy Dundigal,CBSE,17.6,78.447,https://www.kv2.ac.in,
Kendriya Vidyalaya No.2,Survey of India Uppal,CBSE,17.407,78.559,https://www.kv2.ac.in,
Little Scholar School,Sanath Nagar,CBSE,17.456,78.443,https://www.littlescholar.in,
Madina High School,Himayatnagar,CBSE,17.4,78.485,https://www.madinahighschool.org,
Mahatma Gandhi Memorial High School,Yousufguda,CBSE,17.437,78.428,https://www.mgmhs.in,
Kennedy High The Global School,Bachupally,CBSE;Cambridge,17.551,78.383,https://www.kennedyhigh.org,
Niraj International School,Kandlakoya / Kompally,CBSE,17.573,78.501,https://www.nirajinternationalschool.com,
Candiidus International School,Muthangi / Patancheru,CBSE;IB;Cambridge,17.548,78.293,https://www.candiidus.in,
Manchester Global School,Financial District,CBSE;IB,17.41,78.326,https://www.manchester.edu.in,
Keystone International School,Financial District / Puppalguda,IB;Cambridge,17.405,78.343,https://www.keystoneeducation.in,
Akshara International School,LB Nagar,CBSE,17.351,78.553,https://www.aksharagroup.in,
Akshara International School,AS Rao Nagar,CBSE,17.48,78.57,https://www.aksharagroup.in,
Akshara International School,Kukatpally,CBSE,17.494,78.399,https://www.aksharagroup.in,
Akshara International School,Nadergul,CBSE,17.3,78.579,https://www.aksharagroup.in,
Akshara International School,Kismatpur,CBSE,17.367,78.354,https://www.aksharagroup.in,
Akshara International School,Pocharam,CBSE,17.423,78.662,https://www.aksharagroup.in,
Akshara International School,Suchitra,CBSE,17.52,78.458,https://www.aksharagroup.in,
Solitaire Global Schools,Attapur,Cambridge,17.37,78.426,https://www.solitaireglobalschools.com,
Solitaire Global Schools,Katedan,Cambridge,17.311,78.433,https://www.solitaireglobalschools.com,
Gowtham Model School,Hyderabad / Multiple campuses,CBSE,17.4,78.48,https://www.gowthammodelschools.com,
The Arthah School,Kollur,CBSE,17.463,78.284,https://thearthahschool.com/,16-08-2026
Oasis International School,Shaikpet,CBSE;Cambridge,17.409,78.402,https://www.oasisschool.in,
Samashti International School,Kollur,CBSE;International (unspecified),17.464,78.285,https://www.samashti.in,
Vidyaranya High School,Saifabad / Khairatabad,ICSE,17.4081,78.4716,https://vidyaranyaschool.com,
Little Flower High School,Abids,CBSE;State Board,17.3934,78.4754,https://lfhsabids.org,
St. George's Grammar School,Abids,ICSE;State Board,17.3912,78.477,https://stgeorgesgrammarschool.in,
St. Ann's High School,Secunderabad,ICSE;ISC,17.4418,78.4983,https://www.stannsicse.com/,19-08-2026
Rosary Convent High School,Gunfoundry / Abids,State Board,17.395,78.4731,https://rosaryconventhsshyd.org,
All Saints High School,Gunfoundry / Abids,State Board,17.3956,78.4742,https://allsaintshighschool.ac.in,
Sloka The Hyderabad Waldorf School,Bandlaguda Jagir,CBSE;Waldorf,17.3625,78.3881,https://slokaschool.com,
Abhyasa International Residential School,Toopran,ICSE;ISC,17.852,78.478,https://abhyasaschool.com/,
Keyes High School for Girls,Secunderabad,State Board,17.438885,78.504625,https://www.keyesghs.com/,19-08-2026
P Obul Reddy Public School,Jubilee Hills,CBSE,17.428,78.41,http://www.amsporps.org,19-08-2026
Resonance School,Madhapur,CBSE;State Board,17.4486,78.3908,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Kukatpally,CBSE;State Board,17.4947,78.3996,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Gachibowli,CBSE;State Board,17.4401,78.3489,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Patancheru,CBSE;State Board,17.529,78.264,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Manikonda,CBSE;State Board,17.398,78.389,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Chintal,CBSE;State Board,17.519,78.442,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Suchitra,CBSE;State Board,17.52,78.458,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Chanda Nagar,CBSE;State Board,17.492,78.327,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Attapur,CBSE;State Board,17.37,78.426,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Vanasthalipuram,CBSE;State Board,17.331,78.571,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Nacharam,CBSE;State Board,17.431,78.556,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Uppal,CBSE;State Board,17.406,78.559,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Bowenpally,CBSE;State Board,17.475,78.466,https://resonanceschools.com/campuses,19-08-2026
Resonance School,Beeramguda,CBSE;State Board,17.515,78.305,https://resonanceschools.com/campus/beeramguda,19-08-2026
Resonance School,Nizampet,CBSE;State Board,17.516,78.367,https://resonanceschools.com/campuses,19-08-2026
Sri Chaitanya Techno School,Madhapur,CBSE;State Board,17.448,78.391,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Kukatpally,CBSE;State Board,17.494,78.399,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Gachibowli,CBSE;State Board,17.444,78.349,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Miyapur,CBSE;State Board,17.496,78.357,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,LB Nagar,CBSE;State Board,17.351,78.553,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,AS Rao Nagar,CBSE;State Board,17.48,78.57,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Attapur,CBSE;State Board,17.37,78.426,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Himayatnagar,CBSE;State Board,17.4,78.485,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Nizampet,CBSE;State Board,17.516,78.367,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Dilsukhnagar,CBSE;State Board,17.3688,78.5247,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Mehdipatnam,CBSE;State Board,17.393,78.431,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Ramanthapur,CBSE;State Board,17.397,78.54,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Kompally,CBSE;State Board,17.54,78.493,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Boduppal,CBSE;State Board,17.405,78.58,https://srichaitanya.net/branch-locator/,
Sri Chaitanya Techno School,Chanda Nagar,CBSE;State Board,17.492,78.327,https://srichaitanya.net/branch-locator/,
Narayana e-Techno School,Madhapur,CBSE;State Board,17.447,78.376,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Kukatpally,CBSE;State Board,17.494,78.399,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Jubilee Hills,CBSE;State Board,17.432,78.407,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Gachibowli,CBSE;State Board,17.444,78.349,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Attapur,CBSE;State Board,17.37,78.426,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,LB Nagar,CBSE;State Board,17.351,78.553,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,ECIL,CBSE;State Board,17.474,78.57,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Manikonda,CBSE;State Board,17.398,78.389,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Kompally,CBSE;State Board,17.54,78.493,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Nizampet,CBSE;State Board,17.516,78.367,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Mehdipatnam,CBSE;State Board,17.393,78.431,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Old Alwal,CBSE;State Board,17.501,78.509,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Ramanthapur,CBSE;State Board,17.397,78.54,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Vanasthalipuram,CBSE;State Board,17.331,78.571,https://www.narayanaschools.in/telangana,
Narayana e-Techno School,Ameerpet,CBSE;State Board,17.4375,78.4482,https://www.narayanaschools.in/telangana,
Modulus IIT Academy,KPHB,CBSE;State Board,17.4891,78.3992,https://www.modulushyd.com/,
Modulus IIT Academy,Madhapur,CBSE;State Board,17.4485,78.3888,https://www.modulushyd.com/,
Modulus IIT Academy,Gachibowli,CBSE;State Board,17.458,78.337,https://www.modulushyd.com/,
St. Patrick's High School,Secunderabad,ICSE,17.4398,78.4981,https://www.stpatrickshighschool.ac.in/,19-08-2026
St. Joseph's Public School,King Koti,ICSE,17.3942,78.482,https://stjosephspublicschoolkingkoti.com/,19-08-2026
St. Joseph's Public School,Habsiguda,ICSE;ISC,17.4089,78.5428,https://www.sjshabsiguda.org/,19-08-2026
St. Joseph's Public School,Ramanthapur,State Board,17.397182, 78.534358,https://www.stjosephshighschool.org/,19-08-2026
St. Francis High School,Secunderabad,ICSE;State Board,17.4412,78.4995,https://stfrancissecunderabad.com,
St. Mary's High School,Secunderabad,ICSE;State Board,17.4405,78.5021,https://stmaryshighschool.in,
St. Paul's High School,Hyderguda,ICSE;State Board,17.3965,78.4792,https://stpaulshyd.edu.in,
Stanley Girls High School,Abids,ICSE;State Board,17.392,78.4755,https://stanleygirls.edu.in,
Methodist Boys High School,Abids,ICSE;State Board,17.3915,78.4748,https://methodistboys.edu.in,
St. John's Grammar School,Secunderabad,ICSE,17.443,78.501,https://stjohnsgrammar.edu.in,
St. Anthony's High School,Himayatnagar,ICSE;State Board,17.4021,78.487,https://stanthonyshyd.edu.in,
The Shri Ram Universal School, Financial District,CBSE,17.417327, 78.349914,https://tsushyderabad.com,19-08-2026
Keystone School,Financial District,Cambridge;IB,17.412399, 78.34855,https://www.keystoneeducation.in,19-08-2026
Canary The School,Madinaguda, CBSE;IB,17.498539, 78.347958,https://www.canarytheschool.com,19-08-2026
Ambitus World School,Bachupally,Cambridge,17.554723, 78.39856,https://ambitusworldschool.com/hyderabad/,19-08-2026
Epistemo Vikas Leadership School, Nallagandla,CBSE;Cambridge,17.468428, 78.304508,https://epistemo.in/,19-08-2026
